
-150 0
-69	0.002376
-68	0.005042 
-67	0.008033 
-66	0.011130 
-65	0.014195 
-64	0.017634 
-63	0.021346 
-62	0.025248 
-61	0.029627 
-60	0.034624 
-59	0.040196 
-58	0.045391 
-57	0.051012 
-56	0.056434 
-55	0.062098 
-54	0.067786 
-53	0.073492 
-52	0.079490 
-51	0.085236 
-50	0.091348 
-49	0.097384 
-48	0.103536 
-47	0.110000 
-46	0.116202 
-45	0.122717 
-44	0.129429 
-43	0.136015 
-42	0.142882 
-41	0.150000 
-40	0.156977 
-39	0.164219 
-38	0.171707 
-37	0.179350 
-36	0.187037 
-35	0.194983 
-34	0.203181 
-33	0.211630 
-32	0.220335 
-31	0.229242 
-30	0.238439 
-29	0.247983 
-28	0.257907 
-27	0.268256 
-26	0.279088 
-25	0.290455 
-24	0.302414 
-23	0.315154 
-22	0.328847 
-21	0.343664 
-20	0.360000 
-19	0.378422 
-18	0.400000 
-17	0.424942 
-16	0.450000 
-15	0.474942 
-14	0.500000 
-13	0.524942 
-12	0.550000 
-11	0.574942 
-10	0.600000 
-9	0.624942 
-8	0.650000 
-7	0.674942 
-6	0.700000 
-5	0.724942 
-4	0.750000 
-3	0.774942 
-2	0.800000 
-1	0.824942 
0	0.850000 
1	0.874942 
2	0.900000 
3	0.924942 
4	0.950000 
5	0.974942 
6	1.000000 
